   	                                              dfde	                               UL	                            UR
-0.0238237428928168	-1.34052466903212E-7	-0.0237653535009933	-1.34025207422808E-7
-0.0238232614782376	-1.34089916839779E-7	0.0237654250771946	1.34063142907396E-7
-0.0235359771889466	-1.58412180786576E-7	0.0237655539029425	1.58381409274521E-7
-0.0235359636607338	-1.58413424103814E-7	-0.0237654824205126	-1.58382070608325E-7
-0.0235359399175889	-1.58415606993928E-7	-0.0237654794069069	-1.58384232472037E-7
-0.0235358798993689	-1.58421123805426E-7	0.0237655515417651	1.58390334422805E-7
-0.0235082206070883	-1.60984077684675E-7	0.0237655491330604	1.60952774096632E-7
-0.0235076641862149	-1.61036059390404E-7	-0.0237654773552674	-1.61004152536069E-7
-0.0235073448742389	-1.61065898277415E-7	-0.0237654746660897	-1.61033966815172E-7
-0.0235069035583674	-1.61107146471221E-7	0.0237655533876183	1.61075847770855E-7
-0.0235068127201586	-1.61115638233479E-7	0.0237655466864604	1.61084292355187E-7
-0.023506383281561	-1.61155788442278E-7	-0.0237654813247434	-1.61123884472407E-7
-0.0235060866695497	-1.61183525825227E-7	-0.023765479061167	-1.61151601248769E-7
-0.0235055867017684	-1.6123029155718E-7	0.0237655507709412	1.61198950969746E-7
-0.0234298650849508	-1.68471966260269E-7	-0.0237655253984899	-1.68438926558234E-7
-0.023429841720306	-1.68474250156269E-7	0.0237655972066363	1.68441831221836E-7
-0.0234014139549723	-1.71276197785572E-7	0.0237655959021222	1.71243230284729E-7
-0.0234008746781081	-1.71329799218679E-7	-0.0237655239749132	-1.71296188528167E-7
-0.0234005663651945	-1.7136045123933E-7	-0.0237655215313144	-1.7132681702521E-7
-0.0234000494351605	-1.71411855975776E-7	0.0237655933894979	1.71378844196679E-7
-0.0233781474612198	-1.73604074219525E-7	0.0237657122508097	1.73571507686377E-7
-0.0233777533851368	-1.73643773898105E-7	-0.0237656436694247	-1.73610583252079E-7
-0.0233774805652683	-1.7367126348939E-7	-0.0237656126097242	-1.73637840557909E-7
-0.0233770823558401	-1.73711394804691E-7	0.0237656878007078	1.73678629633835E-7
-0.0233702204141987	-1.74404401006192E-7	0.0237656853654675	1.74371487517916E-7
-0.0233696849100357	-1.74458599028E-7	-0.0237656162693411	-1.74425052169805E-7
-0.023369334055628	-1.74494118224969E-7	-0.0237656076338018	-1.74460500938923E-7
-0.0233688200359727	-1.74546168236418E-7	0.0237656823934329	1.74513206328574E-7
-0.023354074332694	-1.76045964147687E-7	0.0237657244511336	1.76013030284103E-7
-0.0233539403866756	-1.76059647177112E-7	-0.0237656522979994	-1.76026058686332E-7
-0.0233538585112051	-1.7606801104693E-7	-0.0237656518982615	-1.76034418265142E-7
-0.0233537187052701	-1.76082294298463E-7	0.0237657233129548	1.76049344839229E-7
-0.0231519591176713	-1.97950618234263E-7	0.0237658833159685	1.97914909939346E-7
-0.0231518128860858	-1.97967415006483E-7	-0.0237658129973389	-1.97930985548708E-7
-0.0231517041822615	-1.9797990195149E-7	-0.0237657924389563	-1.97943298769173E-7
-0.0231515193748532	-1.98001132083318E-7	0.0237658657848557	1.97965268292489E-7
-0.0231286296412022	-2.00648368419267E-7	0.0237658601987703	2.00611977701277E-7
-0.0231280437092733	-2.00716594633465E-7	-0.0237657891738087	-2.00679458425314E-7
-0.0231276969386387	-2.00756983912807E-7	-0.0237657857085193	-2.00719810993531E-7
-0.0231271392739225	-2.00821953958443E-7	0.0237658585151184	2.007855177115E-7
-0.0231225672399545	-2.01355403892605E-7	0.0237658797929975	2.01319051341393E-7
-0.023122145019932	-2.01404739097191E-7	-0.0237658074301164	-2.01367629759534E-7
-0.0231219026907118	-2.01433059261689E-7	-0.0237658060752591	-2.01395933702757E-7
-0.0231214917950107	-2.0148108938287E-7	0.0237658774196939	2.01444693722146E-7
-0.0229815886223836	-2.1851856289379E-7	0.0237659765246807	2.18480000632256E-7
-0.0229812692397479	-2.18559061171862E-7	-0.0237659074712369	-2.18519711239727E-7
-0.0229810461604492	-2.18587352269618E-7	-0.0237658188512007	-2.1854718253311E-7
-0.0229807101796594	-2.18629968764881E-7	0.0237658935573288	2.18590624047114E-7
-0.0229679763433184	-2.20251299072868E-7	0.0237658879088098	2.20211609961195E-7
-0.0229674105734002	-2.20323613481759E-7	-0.0237658181554641	-2.20283118345932E-7
-0.0229670524235695	-2.20369403306125E-7	-0.0237658121965335	-2.20328844396023E-7
-0.0229665128245528	-2.20438409226892E-7	0.0237658862989019	2.20398671911591E-7
-0.0229551666964001	-2.21894412863216E-7	0.0237659231523616	2.21854756733243E-7
-0.0229549303788593	-2.21924841071292E-7	-0.0237658508242858	-2.21884355902774E-7
-0.0229547899278064	-2.21942926940107E-7	-0.0237658501736307	-2.21902432660549E-7
-0.0229545523130698	-2.21973528093531E-7	0.0237659214550876	2.21933841992221E-7
-0.0228503996220801	-2.35801468564559E-7	0.0237659686129945	2.35759778127153E-7
-0.022849982991306	-2.35858478036214E-7	-0.023765899890645	-2.3581593855723E-7
-0.022849696245509	-2.35897722823422E-7	-0.0237658766279508	-2.35854945386353E-7
-0.0228492797399318	-2.35954738835024E-7	0.0237659516944624	2.35912853033811E-7
