	n	sx	sy	sz
0.175180859154212	-3.72281951219428E-11	0.00100454384789851	-5.10252465031181E-6	-4.05732735312895E-6
0.09564982739636	1.60386693230922E-10	0.0236804112279367	-3.9045913715953E-5	-6.42917470109618E-5
0.0803595564456248	1.2631479506937E-9	0.0431040475952096	0.00716412311960901	-0.007305742880312
0.0700872568295044	2.23417859812121E-9	0.0641886579605392	0.017390443327884	-0.0175348875109815
0.162641505781023	-2.89397075010661E-10	0.00152167215000466	0.0014690835372668	-0.00146644445855185
0.0651817755279593	2.23272509440705E-9	0.0777166141778172	0.0223011199940575	-0.0224002608757555
0.145044270970879	-2.12371052029602E-10	0.00329504624036014	0.00141653118340186	-0.00141077313107135
0.0658194808139234	1.20044579250777E-9	0.0761612895838552	0.0147963343389315	-0.0148270447854697
0.165726626032656	-5.00141394884874E-12	0.00148116144956156	4.85179404712137E-5	-4.61471902757905E-5
0.0473922113251995	-2.86006937751104E-10	0.157144659581129	7.81124565635166E-4	-7.21057380569458E-4
0.156351220519374	1.15076724567111E-10	0.00211371026715245	-8.02945623460584E-4	8.05104857690527E-4
0.0576286330219892	-1.22703641477835E-9	0.104860821319808	-0.0210283498418008	0.0211093400037705
0.151684774082549	1.78378889400435E-10	0.00246066102872568	-0.00166188702811538	0.00166195008767802
0.073088498240604	-1.09384445470189E-9	0.0564162543980367	-0.0235054685140101	0.0235561990857358
0.151856026767935	1.56708704809017E-10	0.00237621898204278	-0.00204101028848465	0.00203769881132619
0.09326157146153	-6.22029900450676E-10	0.0248503520916757	-0.0162519799487583	0.0162701655112928
0.156854107379365	9.30632003986972E-11	0.00192517581669091	-0.00179053075775424	0.00178446724905219
0.117554801861713	-2.35752153256776E-10	0.00908152235269541	-0.00858998075209053	0.00859241657991899
0.156853859542254	-4.892180929528E-10	0.00191464971301073	-0.00189238513706115	0.00187780171570521
0.16653041953737	3.00944236928396E-11	0.00131815685794298	-0.00116850664832795	0.00116173659097042
0.145347673871698	-5.1809914192408E-11	0.00277763249957861	-0.00373375304657604	0.00373237464190231
0.127890871621716	-8.6320092281252E-10	0.00635696349384371	-0.00400564109878099	0.00396667907369686
0.180615233638917	-1.94890037983228E-9	5.92686142932041E-13	-1.63136403148793E-6	-1.63032016169602E-6
0.1760347854398	1.72441207019065E-11	7.03399206209729E-4	-0.00137122343396311	0.0013701133130635
0.102186980506338	-1.13615898220194E-9	0.0180393232618304	-0.00669994973991292	0.00661188489727664
0.08035951895658	-8.43237632521393E-10	0.043105935901579	-0.00727313784752496	0.00711164391171772
0.0630172392476077	3.76886670933356E-10	0.0853238588797432	-7.56819954698931E-5	-1.53928652327764E-4
0.0507095903597537	2.0411888234023E-9	0.1377745830396	0.0185371908219142	-0.0187783553500624
0.0438673991743181	2.71851933462042E-9	0.179559582483704	0.0360142866442685	-0.036180844134244
0.179555998677565	-9.85017729109305E-11	8.25058528857214E-4	4.8625636819603E-4	-4.84715994116404E-4
0.0427468820608778	1.57975517999505E-9	0.187920707192369	0.0292792173136162	-0.029318023280758
0.0272891126099472	-7.70472950535812E-10	0.344488884199156	0.00107085908161087	-9.21429083887987E-4
0.0360508934351025	-2.10324809909251E-9	0.243953454962862	-0.0402199768018963	0.0403853836999515
0.050323083039938	-1.91530262002993E-9	0.138433343990007	-0.0465781499368391	0.0466758785634964
